Model,Round,AvgF1,00-WebDDoS(f1),00-WebDDoS(loss),01-LDAP(f1),01-LDAP(loss),02-Portmap(f1),02-Portmap(loss),03-DNS(f1),03-DNS(loss)
*mlp,29,0.91167,0.89655,0.00661,0.77778,1.24422,0.98810,0.06127,0.98425,0.04837
*mlp,30,0.91167,0.89655,0.00661,0.77778,1.06154,0.98810,0.06158,0.98425,0.04813
*mlp,31,0.91167,0.89655,0.00758,0.77778,1.03579,0.98810,0.06144,0.98425,0.04813
*mlp,32,0.91385,0.89655,0.00742,0.78652,1.00837,0.98810,0.06112,0.98425,0.04813
*mlp,33,0.91385,0.89655,0.00742,0.78652,0.98402,0.98810,0.06111,0.98425,0.04662
mlp,34,0.91167,0.89655,0.00742,0.77778,0.97604,0.98810,0.06137,0.98425,0.04607
*mlp,35,0.91385,0.89655,0.00731,0.78652,0.95948,0.98810,0.06137,0.98425,0.04865
*mlp,36,0.91385,0.89655,0.00714,0.78652,0.93464,0.98810,0.06137,0.98425,0.04866
*mlp,37,0.91385,0.89655,0.00718,0.78652,0.91694,0.98810,0.06137,0.98425,0.04830
mlp,38,0.91167,0.89655,0.00718,0.77778,0.89679,0.98810,0.06163,0.98425,0.04478
mlp,39,0.91167,0.89655,0.00811,0.77778,0.86838,0.98810,0.06078,0.98425,0.04478
*mlp,40,0.91385,0.89655,0.00644,0.78652,0.86838,0.98810,0.06043,0.98425,0.04384
*mlp,41,0.91385,0.89655,0.00829,0.78652,0.83687,0.98810,0.06043,0.98425,0.04679
*mlp,42,0.91385,0.89655,0.00636,0.78652,0.83687,0.98810,0.06062,0.98425,0.04354
*mlp,43,0.91609,0.89655,0.00636,0.79545,0.83687,0.98810,0.06042,0.98425,0.04350
*mlp,44,0.91609,0.89655,0.00824,0.79545,0.73944,0.98810,0.06055,0.98425,0.04350
*mlp,45,0.91609,0.89655,0.00824,0.79545,0.72470,0.98810,0.06014,0.98425,0.04299
*mlp,46,0.91837,0.89655,0.00824,0.80460,0.71259,0.98810,0.05998,0.98425,0.04258
*mlp,47,0.91837,0.89655,0.00824,0.80460,0.69969,0.98810,0.05989,0.98425,0.04224
*mlp,48,0.91837,0.89655,0.00824,0.80460,0.68804,0.98810,0.05977,0.98425,0.04193
*mlp,49,0.91837,0.89655,0.00572,0.80460,0.68804,0.98810,0.05972,0.98425,0.04154
*mlp,50,0.92071,0.89655,0.00548,0.81395,0.68804,0.98810,0.05990,0.98425,0.04163
*mlp,51,0.92071,0.89655,0.00534,0.81395,0.65561,0.98810,0.06000,0.98425,0.04163
*mlp,52,0.92071,0.89655,0.00534,0.81395,0.65561,0.98810,0.05998,0.98425,0.04112
*mlp,53,0.92071,0.89655,0.00492,0.81395,0.63001,0.98810,0.05998,0.98425,0.04371
*mlp,54,0.92071,0.89655,0.00660,0.81395,0.61702,0.98810,0.06028,0.98425,0.04371
*mlp,55,0.92311,0.89655,0.00475,0.82353,0.61702,0.98810,0.06046,0.98425,0.04004
*mlp,56,0.92311,0.89655,0.00475,0.82353,0.61460,0.98810,0.06013,0.98425,0.03988
*mlp,57,0.92311,0.89655,0.00529,0.82353,0.60352,0.98810,0.06030,0.98425,0.03988
*mlp,58,0.92311,0.89655,0.00529,0.82353,0.59130,0.98810,0.06041,0.98425,0.03937
*mlp,59,0.92311,0.89655,0.00529,0.82353,0.57940,0.98810,0.06039,0.98425,0.03916
*mlp,60,0.92311,0.89655,0.00465,0.82353,0.57940,0.98810,0.06045,0.98425,0.03896
*mlp,61,0.92311,0.89655,0.00315,0.82353,0.57940,0.98810,0.06078,0.98425,0.03890
*mlp,62,0.92311,0.89655,0.00369,0.82353,0.55701,0.98810,0.06078,0.98425,0.04173
*mlp,63,0.92311,0.89655,0.00654,0.82353,0.55012,0.98810,0.06078,0.98425,0.04146
*mlp,64,0.92311,0.89655,0.00654,0.82353,0.54003,0.98810,0.06071,0.98425,0.03819
*mlp,65,0.92311,0.89655,0.00277,0.82353,0.54003,0.98810,0.06010,0.98425,0.03785
*mlp,66,0.92311,0.89655,0.00337,0.82353,0.51640,0.98810,0.06103,0.98425,0.03785
*mlp,67,0.92311,0.89655,0.00333,0.82353,0.50844,0.98810,0.06092,0.98425,0.03785
*mlp,68,0.92311,0.89655,0.00333,0.82353,0.49902,0.98810,0.06078,0.98425,0.03799
*mlp,69,0.92311,0.89655,0.00283,0.82353,0.49902,0.98810,0.06053,0.98425,0.03787
*mlp,70,0.92556,0.89655,0.00278,0.83333,0.48823,0.98810,0.06053,0.98425,0.04068
*mlp,71,0.92556,0.89655,0.00269,0.83333,0.48823,0.98810,0.06062,0.98425,0.03796
*mlp,72,0.92556,0.89655,0.00301,0.83333,0.46690,0.98810,0.06062,0.98425,0.04068
*mlp,73,0.92556,0.89655,0.00301,0.83333,0.45569,0.98810,0.06002,0.98425,0.03777
*mlp,74,0.92556,0.89655,0.00300,0.83333,0.44950,0.98810,0.06002,0.98425,0.04012
*mlp,75,0.92556,0.89655,0.00300,0.83333,0.44616,0.98810,0.05932,0.98425,0.03710
*mlp,76,0.92556,0.89655,0.00259,0.83333,0.43908,0.98810,0.05872,0.98425,0.03710
*mlp,77,0.92556,0.89655,0.00256,0.83333,0.43211,0.98810,0.05846,0.98425,0.03710
*mlp,78,0.92807,0.89655,0.00256,0.84337,0.42525,0.98810,0.05820,0.98425,0.03667
*mlp,79,0.92807,0.89655,0.00256,0.84337,0.39632,0.98810,0.05820,0.98425,0.03905
*mlp,80,0.93327,0.89655,0.00229,0.86420,0.39632,0.98810,0.05810,0.98425,0.03668
*mlp,81,0.93327,0.89655,0.00226,0.86420,0.39632,0.98810,0.05794,0.98425,0.03666
*mlp,82,0.93327,0.89655,0.00226,0.86420,0.38654,0.98810,0.05769,0.98425,0.03658
*mlp,83,0.93327,0.89655,0.00206,0.86420,0.38100,0.98810,0.05767,0.98425,0.03658
*mlp,84,0.93327,0.89655,0.00238,0.86420,0.37367,0.98810,0.05767,0.98425,0.03889
*mlp,85,0.93327,0.89655,0.00238,0.86420,0.37144,0.98810,0.05771,0.98425,0.03623
*mlp,86,0.93327,0.89655,0.00238,0.86420,0.37165,0.98810,0.05746,0.98425,0.03609
*mlp,87,0.93597,0.89655,0.00213,0.87500,0.37165,0.98810,0.05695,0.98425,0.03603
*mlp,88,0.93597,0.89655,0.00213,0.87500,0.34791,0.98810,0.05689,0.98425,0.03608
*mlp,89,0.93597,0.89655,0.00206,0.87500,0.34764,0.98810,0.05689,0.98425,0.03859
*mlp,90,0.93597,0.89655,0.00200,0.87500,0.34369,0.98810,0.05747,0.98425,0.03859
*mlp,91,0.93597,0.89655,0.00204,0.87500,0.34369,0.98810,0.05762,0.98425,0.03644
*mlp,92,0.93597,0.89655,0.00202,0.87500,0.34369,0.98810,0.05717,0.98425,0.03656
*mlp,93,0.93874,0.89655,0.00202,0.88608,0.32799,0.98810,0.05715,0.98425,0.03629
*mlp,94,0.94158,0.89655,0.00202,0.89744,0.32281,0.98810,0.05675,0.98425,0.03597
*mlp,95,0.94158,0.89655,0.00187,0.89744,0.26173,0.98810,0.05658,0.98425,0.03597
*mlp,96,0.94258,0.89655,0.00185,0.89744,0.25483,0.98810,0.05663,0.98824,0.03597
*mlp,97,0.94258,0.89655,0.00185,0.89744,0.29601,0.98810,0.05685,0.98824,0.03878
*mlp,98,0.94258,0.89655,0.00184,0.89744,0.29601,0.98810,0.05739,0.98824,0.03920
*mlp,99,0.94258,0.89655,0.00184,0.89744,0.24875,0.98810,0.05739,0.98824,0.03957
*mlp,100,0.94258,0.89655,0.00182,0.89744,0.24469,0.98810,0.05802,0.98824,0.03957
*mlp,101,0.94549,0.89655,0.00196,0.90909,0.24268,0.98810,0.05792,0.98824,0.03957
*mlp,102,0.94549,0.89655,0.00178,0.90909,0.23979,0.98810,0.05792,0.98824,0.04011
*mlp,103,0.94549,0.89655,0.00178,0.90909,0.28117,0.98810,0.05739,0.98824,0.04017
*mlp,104,0.94549,0.89655,0.00178,0.90909,0.27725,0.98810,0.05739,0.98824,0.04023
*mlp,105,0.94549,0.89655,0.00206,0.90909,0.27725,0.98810,0.05730,0.98824,0.04038
mlp,106,0.94450,0.89655,0.00206,0.90909,0.26512,0.98810,0.05905,0.98425,0.04091
mlp,107,0.94450,0.89655,0.00213,0.90909,0.26512,0.98810,0.06119,0.98425,0.03823
mlp,108,0.94450,0.89655,0.00199,0.90909,0.26512,0.98810,0.06089,0.98425,0.03810
mlp,109,0.94450,0.89655,0.00170,0.90909,0.26512,0.98810,0.06032,0.98425,0.03793
mlp,110,0.94450,0.89655,0.00207,0.90909,0.20963,0.98810,0.05995,0.98425,0.03793
mlp,111,0.94450,0.89655,0.00167,0.90909,0.20664,0.98810,0.05964,0.98425,0.03793
mlp,112,0.94450,0.89655,0.00167,0.90909,0.24208,0.98810,0.05918,0.98425,0.03759
mlp,113,0.94450,0.89655,0.00175,0.90909,0.24208,0.98810,0.05870,0.98425,0.03744
*mlp,114,0.94549,0.89655,0.00161,0.90909,0.18891,0.98810,0.05870,0.98824,0.04073
*mlp,115,0.94549,0.89655,0.00159,0.90909,0.18891,0.98810,0.05762,0.98824,0.04096
*mlp,116,0.94549,0.89655,0.00159,0.90909,0.23059,0.98810,0.05728,0.98824,0.04115
*mlp,117,0.94549,0.89655,0.00161,0.90909,0.23059,0.98810,0.05706,0.98824,0.04122
*mlp,118,0.94549,0.89655,0.00161,0.90909,0.18683,0.98810,0.05706,0.98824,0.04119
*mlp,119,0.94549,0.89655,0.00161,0.90909,0.18316,0.98810,0.05706,0.98824,0.04138
*mlp,120,0.94549,0.89655,0.00154,0.90909,0.18137,0.98810,0.05627,0.98824,0.04138
*mlp,121,0.94549,0.89655,0.00177,0.90909,0.18137,0.98810,0.05720,0.98824,0.04239
*mlp,122,0.94549,0.89655,0.00159,0.90909,0.18137,0.98810,0.05705,0.98824,0.04203
*mlp,123,0.94549,0.89655,0.00153,0.90909,0.18020,0.98810,0.05705,0.98824,0.04216
*mlp,124,0.94549,0.89655,0.00152,0.90909,0.17653,0.98810,0.05705,0.98824,0.04239
*mlp,125,0.94549,0.89655,0.00156,0.90909,0.17653,0.98810,0.05630,0.98824,0.04260
*mlp,126,0.94549,0.89655,0.00156,0.90909,0.21089,0.98810,0.05626,0.98824,0.04291
*mlp,127,0.94549,0.89655,0.00157,0.90909,0.16860,0.98810,0.05626,0.98824,0.04315
